label,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,74,0.611,0.697,2,-8.618,1,0.133,0.0193,0.0,0.332,0.476,122.752,320357
0,31,0.36,0.221,2,-12.601,0,0.0345,0.798,3.73e-06,0.143,0.294,143.688,256895
0,61,0.709,0.911,7,-2.611,1,0.0593,0.0572,4.73e-06,0.0732,0.779,106.972,203507
0,0,0.384,0.577,0,-5.835,1,0.05,0.267,0.000426,0.0761,0.636,78.236,232760
0,34,0.804,0.877,0,-3.722,1,0.0609,0.00178,0.141,0.334,0.635,124.992,257280
0,33,0.667,0.827,11,-10.869,0,0.0553,0.0286,0.0135,0.245,0.441,127.993,230600
0,69,0.766,0.674,0,-6.245,1,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,168636
0,0,0.497,0.99,11,-5.272,1,0.0631,0.00628,0.0,0.339,0.685,140.011,234987
0,70,0.657,0.739,2,-4.081,1,0.274,0.141,0.0,0.178,0.543,181.994,202221
0,48,0.687,0.711,5,-7.089,1,0.0524,0.258,0.00673,0.115,0.0705,120.018,192500
0,50,0.631,0.939,7,-1.7,0,0.0398,0.0728,0.000187,0.319,0.353,128.048,191500
0,78,0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,124.996,268467
0,17,0.551,0.676,5,-8.075,1,0.0266,0.0206,0.596,0.0667,0.336,120.035,277803
0,23,0.697,0.794,2,-5.005,1,0.0761,0.0724,0.0,0.0353,0.379,96.989,186881
0,39,0.528,0.427,11,-8.926,0,0.0347,0.826,0.0,0.122,0.195,141.866,189071
0,65,0.583,0.677,4,-10.21,0,0.439,0.47,0.193,0.43,0.495,176.119,226906
0,69,0.637,0.878,7,-4.449,1,0.0302,0.0775,0.0227,0.364,0.742,139.053,242053
0,39,0.468,0.931,7,-3.554,0,0.19,0.195,0.00145,0.125,0.153,145.103,231759
0,69,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
0,39,0.434,0.917,9,-3.613,0,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554
0,0,0.723,0.914,9,-5.13,0,0.0409,0.0862,0.723,0.231,0.893,135.547,220027
0,78,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013
0,62,0.674,0.713,6,-7.46,0,0.036,0.0733,0.139,0.169,0.704,111.017,184600
0,68,0.654,0.874,6,-3.885,1,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027
0,9,0.542,0.903,11,-2.745,1,0.0731,0.166,3.53e-05,0.355,0.39,96.028,211875
0,46,0.83,0.546,11,-7.506,1,0.055,0.232,0.0,0.676,0.61,120.975,231540
0,0,0.747,0.833,4,-5.525,0,0.0505,0.804,0.448,0.117,0.936,109.97,214102
0,0,0.632,0.596,9,-8.156,1,0.0319,0.0227,0.046,0.117,0.553,118.972,210000
0,77,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,237793
0,21,0.588,0.853,2,-5.069,1,0.0505,0.000778,0.0,0.219,0.598,125.007,217347
0,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693
0,48,0.396,0.818,8,-4.306,0,0.0352,0.0112,1.98e-06,0.199,0.359,162.061,206520
0,53,0.545,0.833,7,-4.6,1,0.153,0.0047,1.42e-05,0.0745,0.741,149.937,203285
0,5,0.719,0.527,6,-9.077,1,0.0408,0.0312,0.716,0.105,0.58,123.955,264293
0,14,0.818,0.595,8,-7.644,1,0.0515,0.00014,0.575,0.0612,0.729,119.99,262000
0,67,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173
0,36,0.439,0.819,6,-4.253,1,0.0751,0.0134,0.0,0.2,0.567,179.885,205977
0,39,0.369,0.96,9,-2.772,1,0.131,0.0663,0.0424,0.206,0.539,169.991,151893
0,24,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,249293
0,54,0.692,0.797,5,-6.248,1,0.0439,0.0863,0.0,0.186,0.763,125.023,186800
0,61,0.689,0.859,10,-4.708,0,0.0281,0.108,0.291,0.14,0.672,119.991,194481
0,40,0.767,0.738,2,-6.907,0,0.0374,0.0192,0.561,0.106,0.339,120.001,215967
0,84,0.672,0.464,6,-5.624,0,0.037,0.43,0.0,0.284,0.271,92.069,200742
0,53,0.694,0.709,7,-6.205,0,0.103,0.0966,0.0,0.267,0.566,114.966,188000
0,53,0.685,0.712,6,-4.302,0,0.0894,0.334,1.1e-06,0.047,0.483,114.989,196493
0,57,0.481,0.687,7,-6.748,0,0.0699,0.238,0.11,0.107,0.188,145.971,270257
0,48,0.749,0.779,5,-5.389,0,0.0337,0.0155,0.0,0.126,0.739,118.936,179680
0,33,0.584,0.756,0,-5.386,1,0.0498,0.138,1.53e-05,0.173,0.722,87.989,206667
0,17,0.689,0.711,8,-5.027,0,0.0455,0.00714,0.000499,0.135,0.566,115.048,206320
0,57,0.753,0.566,11,-4.763,0,0.435,0.169,0.0,0.276,0.591,113.884,189695
0,75,0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,193321
0,62,0.659,0.541,5,-7.919,1,0.0272,0.0174,0.0,0.198,0.56,116.685,224693
0,45,0.679,0.77,5,-7.673,1,0.111,0.0417,0.0527,0.124,0.843,184.047,158133
0,39,0.642,0.453,9,-8.333,1,0.0466,0.329,0.0,0.0721,0.496,82.046,257015
0,64,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000393,0.152,0.569,137.972,235000
0,57,0.643,0.613,10,-6.297,0,0.0853,0.334,2.54e-05,0.144,0.52,153.853,159500
0,62,0.57,0.747,4,-3.978,1,0.0426,0.445,0.0,0.219,0.808,164.004,237747
0,75,0.65,0.594,7,-6.374,0,0.0492,0.161,0.0,0.133,0.416,145.944,179577
0,74,0.537,0.647,2,-7.37,1,0.0519,0.168,0.0,0.108,0.531,79.77,214987
0,71,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997,222320
0,19,0.517,0.736,2,-4.558,0,0.0423,0.000319,3.81e-05,0.27,0.5,139.894,197467
0,75,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960
0,0,0.605,0.997,4,-3.255,0,0.0314,0.00901,0.411,0.15,0.816,129.999,317147
0,70,0.592,0.977,6,-3.389,1,0.312,0.206,0.000103,0.0703,0.496,126.178,175254
0,4,0.557,0.782,4,-3.899,1,0.0475,0.0953,6.75e-06,0.118,0.305,159.621,205533
0,31,0.589,0.592,7,-7.887,0,0.0334,0.00598,0.0,0.0614,0.348,141.131,213723
0,59,0.467,0.919,6,-2.255,0,0.069,0.0149,0.0,0.0193,0.706,169.987,196467
0,54,0.847,0.552,10,-8.85,0,0.433,0.53,0.000235,0.15,0.337,91.874,166164
0,2,0.812,0.889,7,-7.769,1,0.0394,0.11,0.00323,0.065,0.872,125.943,236871
0,29,0.52,0.926,6,-4.389,0,0.0381,0.00294,0.00248,0.245,0.721,139.963,192320
0,43,0.401,0.308,6,-12.464,1,0.117,0.389,0.0057,0.143,0.205,147.314,169079
0,61,0.537,0.347,4,-10.245,1,0.0303,0.444,0.00343,0.111,0.0968,110.011,275013
0,50,0.68,0.867,1,-6.054,1,0.0719,0.122,1.3e-05,0.0645,0.667,117.012,163077
0,76,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640
0,46,0.559,0.833,6,-4.332,1,0.0895,0.044,0.0,0.349,0.443,99.991,237027
0,26,0.542,0.169,0,-13.416,1,0.0586,0.78,0.0,0.11,0.411,108.764,195092
0,25,0.666,0.93,3,-4.201,1,0.0314,0.0257,0.012,0.054,0.461,127.978,281430
0,38,0.482,0.842,4,-5.866,0,0.309,0.0906,0.00913,0.0904,0.12,97.853,333061
0,69,0.478,0.633,0,-6.19,1,0.0345,0.123,0.0,0.41,0.287,89.909,240333
0,0,0.636,0.609,7,-12.871,0,0.0339,0.0295,0.237,0.198,0.84,108.235,272947
